gene	beta	hr	se	z	p	q
RPL23AP2	1.2382101303894475	3.4494338991943443	0.4136125189691121	2.993647613654351	0.002756641242878999	0.9993228105536583
SNX7	0.8399818502329458	2.3163249356415707	0.28299762067209544	2.968158701257134	0.002995896047498281	0.9993228105536583
TMEM130	-0.44651627512091896	0.6398533464099266	0.15051471434000055	-2.966595505820613	0.0030111682350439928	0.9993228105536583
FRG1	1.3174480522477294	3.7338805405276294	0.44422815997868015	2.9657013466029656	0.0030199359350862043	0.9993228105536583
FAM72B	0.7249314186726447	2.0645895028225345	0.24451477693593535	2.9647754943766937	0.003029038935905781	0.9993228105536583
NEO1	-0.5437431617582108	0.580571008830584	0.18455294916559642	-2.9462718651562634	0.0032162957565935457	0.9993228105536583
PLP2	0.5403048317357981	1.7165300352711286	0.1839456613996797	2.937306743874846	0.003310764501507135	0.9993228105536583
ZFP30	-0.9194524490311413	0.3987373103228818	0.31323548278787455	-2.9353393838009136	0.003331830518393364	0.9993228105536583
LINC00623	0.7616609337761692	2.14183070676022	0.2598905219631537	2.930699157563563	0.003382001301579951	0.9993228105536583
AK4	0.34615837035703484	1.4136264746204095	0.11860646468234193	2.9185455555406223	0.0035166848630789893	0.9993228105536583
RPL36	0.9136775682529205	2.4934756192967775	0.3139434760822453	2.91032506760408	0.0036105301930318134	0.9993228105536583
VDAC1P1	0.9022665807865212	2.465184323055589	0.310158989587708	2.909045396317216	0.0036253421328358293	0.9993228105536583
HCN2	0.5770749332978912	1.7808217824491968	0.198792152235061	2.9029060091644423	0.0036971757915600367	0.9993228105536583
CENPH	0.510418012521301	1.665987453029146	0.17604820171423266	2.8993083005177676	0.003739869591957934	0.9993228105536583
H2AZ1	0.772425319646788	2.1650107345130167	0.2690624386709414	2.8708032360899343	0.004094302909439573	0.9993228105536583
EEF1B2P6	0.7180979667300983	2.050529324164369	0.25066145887593083	2.864812045498918	0.004172568226399553	0.9993228105536583
CLEC5A	0.4752137546852258	1.6083579547929636	0.16591096185696236	2.8642697828183543	0.004179718580969771	0.9993228105536583
GMPSP1	0.899707627458143	2.4588840958586684	0.314369027078855	2.861947424713899	0.004210467449539124	0.9993228105536583
GAPDH	0.5535854265099851	1.739478623242119	0.1939771960598712	2.8538685874143708	0.004319039313731121	0.9993228105536583
AL354714.2	0.8467847584748778	2.3321364026378806	0.29678740392932285	2.8531694649565775	0.004328553170025895	0.9993228105536583
AL049836.1	0.3501574290760795	1.4192909686722734	0.12284396180346095	2.8504244240860546	0.0043660925015260865	0.9993228105536583
LDHAP5	0.8517228021875541	2.3436810747267125	0.2989961678834824	2.848607753793912	0.004391098087790812	0.9993228105536583
HNRNPA1P8	1.1883294148933334	3.2815944428033195	0.4173977065988866	2.846995553895799	0.004413397876627201	0.9993228105536583
DPCD	0.8865825517259448	2.4268219253632477	0.3117544186388296	2.843849192569293	0.004457213886077227	0.9993228105536583
C11orf54	-0.7728092299816405	0.4617141834052557	0.2724041564518335	-2.8369950005454068	0.004554032508669703	0.9993228105536583
MELTF	0.3479212421687293	1.416120714751643	0.12274740067460237	2.834448959868831	0.004590479019546345	0.9993228105536583
ZFAND1	0.8507772176577963	2.341465973607489	0.30021702975532716	2.8338739422982377	0.00459874686357109	0.9993228105536583
AC092071.1	-0.3753878854638386	0.6870227409666927	0.13247603136918099	-2.8336287068995656	0.004602277061501514	0.9993228105536583
FARSA	1.1881271069280135	3.280930617259452	0.41990912530733593	2.829486275294472	0.00466227996729085	0.9993228105536583
SEC61G	0.7179901701225269	2.050308295972757	0.2538325108885465	2.8285981476887487	0.004675236296271423	0.9993228105536583
HMMR	0.414947564537393	1.5142913360435295	0.14683848473401895	2.8258774618181524	0.004715129791658779	0.9993228105536583
FAM162A	0.6310702078790208	1.8796210885395443	0.22374839390208143	2.820445755490852	0.004795698076676125	0.9993228105536583
NPM1P6	0.7626315255809833	2.1439105592721255	0.2704466847724156	2.819896003616194	0.0048039215599844365	0.9993228105536583
AP2M1	1.0008233349947975	2.7205208066021864	0.35561317776521345	2.8143595276313724	0.004887453289658783	0.9993228105536583
HPRT1	0.6490569906421343	1.9137353075323877	0.23081010948694516	2.8120821574275348	0.004922192916663182	0.9993228105536583
EFNB2	0.41203711268229926	1.5098904713743038	0.1469428569847965	2.804063573671572	0.005046295384820931	0.9993228105536583
EIF3G	1.1411398856491994	3.130334555712563	0.40730221204173717	2.8017031381412294	0.005083362645308398	0.9993228105536583
ZNF607	-0.7200971489320112	0.48670497079503994	0.2572017769503538	-2.799736290589499	0.005114436960620639	0.9993228105536583
EPB41L1	-0.6224599531359507	0.5366227458048815	0.22236808021384535	-2.7992324821860577	0.005122424225224798	0.9993228105536583
HNRNPLP2	0.926412773033452	2.525433605749198	0.3310983299059485	2.797998930700158	0.005142028287802747	0.9993228105536583
DLGAP5	0.3774686250401528	1.4585876799465194	0.13531892934737644	2.789473925493124	0.0052793747358732546	0.9993228105536583
